Person Number,Sex,Race,Age,Undergraduate School Name,Undergraduate GPA,Undergraduate Major,Graduate School Name,Graduate GPA,Graduate Major,Activity1,Activity2,Activity3,Activity4,Activity5,Activity6,Activity7,Skill1,Skill2,Skill3,Skill4,Skill5,Is Employed
322,Female,White,22,University of Chicago,3.2,Mechanical Engineering,,,,Varsity Volleyball,Varsity Field Hockey,IEEE,Engineers without Borders,Economics Club,Robotics Club,,Math,CAD,Python,LaTeX,,1,
323,Female,Asian,38,Swiss Federal Institute of Technology in Zurich,3.5,Aerospace Engineering,,,,Varsity Women's Soccer,Varsity Women's Track & Field,Hacking Club,Economics Club,Habitat for Humanity,Engineers without Borders,,Prototyping,ROS,Python,Simulation,,1,
324,Female,Black,37,Johns Hopkins University,3.6,Electrical Engineering,California Institute of Technology,3.6,Mechanical Engineering,Varsity Field Hockey,Varsity Women's Soccer,Robotics Club,Electric Vehicles Club,Habitat for Humanity,Student Government,Hacking Club,Robotics,Experimental Design,Matlab,CAD,LaTeX,1,
325,Female,Black,34,University of California Los Angeles,3.5,Mechanical Engineering,,,,Varsity Women's Track & Field,Varsity Volleyball,Electric Vehicles Club,Habitat for Humanity,Rocket Club,AIAA,,Matlab,C++,LaTeX,Simulink,,1,
326,Female,Hispanic,29,University of California Berkeley,3.5,Mechanical Engineering,,,,Varsity Volleyball,Varsity Women's Soccer,Economics Club,Ultimate Frisbee,Tau Beta Pi,ASME,,Math,Coding,Experimental Design,Microsoft Word,,1,
327,Female,White,24,Yale University,3.5,Electrical Engineering,Johns Hopkins University,3.5,Aerospace Engineering,Society of Women Engineers,Varsity Volleyball,AIAA,Aviation Club,Hacking Club,Ultimate Frisbee,Robotics Club,Matlab,Presenting,CAD,Simulation,Coding,1,
328,Female,Hispanic,25,University of Tokyo,3.6,Electrical Engineering,University of Tokyo,3.5,Physics,Sorority,Varsity Women's Soccer,Engineers without Borders,AIAA,Tau Beta Pi,Hacking Club,ASME,Communication,Microsoft Excel,Math,Python,LaTeX,1,
329,Female,Black,37,University of Wisconsin–Madison,3.4,Mechanical Engineering,,,,Varsity Women's Soccer,Varsity Field Hockey,Ultimate Frisbee,Tau Beta Pi,Aviation Club,AIAA,,Communication,Experimental Design,Microsoft Excel,Matlab,,1,
330,Female,Black,27,University of Illinois at Urbana–Champaign,3.2,Mathematics,,,,Varsity Women's Soccer,Society of Women Engineers,Student Government,Robotics Club,AIAA,Tau Beta Pi,,Matlab,Communication,Prototyping,LaTeX,,1,
331,Female,Other,24,University of Cambridge,3.6,Mathematics,Weizmann Institute of Science,3.7,Electrical Engineering,Varsity Field Hockey,Varsity Women's Track & Field,Habitat for Humanity,ASME,Hacking Club,Economics Club,Ultimate Frisbee,LaTeX,Presenting,Math,Microsoft Word,Communication,1,
332,Female,Black,31,Duke University,3.2,Mathematics,,,,Varsity Women's Track & Field,Sorority,Rocket Club,Tau Beta Pi,IEEE,Student Government,,Simulink,Simulation,Matlab,Math,,1,
333,Female,White,27,University of Texas Southwestern Medical Center,3.4,Computer Engineering,,,,Society of Women Engineers,Varsity Volleyball,Robotics Club,Hacking Club,Ultimate Frisbee,Electric Vehicles Club,,Matlab,Simulink,CAD,Experimental Design,,1,
334,Female,White,33,University of Pennsylvania,3.5,Mechanical Engineering,California Institute of Technology,3.7,Mechanical Engineering,Varsity Women's Track & Field,Varsity Women's Soccer,Economics Club,Hacking Club,Electric Vehicles Club,IEEE,ASME,Communication,Robotics,Matlab,ROS,C++,1,
335,Female,Unspecified,25,University of Texas Southwestern Medical Center,3.3,Aerospace Engineering,,,,Varsity Volleyball,Society of Women Engineers,Student Government,IEEE,Rocket Club,Ultimate Frisbee,,Python,Communication,Simulink,LaTeX,,1,
336,Female,Hispanic,38,University of Wisconsin–Madison,3.2,Aerospace Engineering,,,,Varsity Volleyball,Sorority,ASME,Economics Club,Student Government,Habitat for Humanity,,Matlab,Coding,Microsoft Word,Robotics,,1,
337,Female,Other,30,New York University,3.2,Mathematics,,,,Sorority,Varsity Women's Soccer,Student Government,Habitat for Humanity,Rocket Club,Engineers without Borders,,ROS,Communication,Microsoft Word,Robotics,,1,
338,Female,Hispanic,23,Duke University,3.4,Physics,,,,Varsity Volleyball,Society of Women Engineers,AIAA,IEEE,Rocket Club,ASME,,Prototyping,Simulink,Matlab,ROS,,1,
339,Female,Unspecified,32,Harvard University,3.5,Mechanical Engineering,Swiss Federal Institute of Technology in Zurich,3.7,Computer Engineering,Sorority,Varsity Volleyball,Ultimate Frisbee,Tau Beta Pi,Electric Vehicles Club,Hacking Club,Aviation Club,C++,Matlab,Simulation,LaTeX,Robotics,1,
340,Female,Unspecified,30,Stanford University,3.5,Mathematics,Columbia University,3.6,Aerospace Engineering,Society of Women Engineers,Varsity Women's Track & Field,Ultimate Frisbee,Habitat for Humanity,Tau Beta Pi,Rocket Club,AIAA,Presenting,Math,Microsoft Excel,C++,CAD,1,
341,Female,Unspecified,24,Imperial College London,3.5,Physics,,,,Varsity Women's Soccer,Sorority,Student Government,ASME,Ultimate Frisbee,Rocket Club,,Simulink,Prototyping,Robotics,Simulation,,1,
342,Female,Black,30,University of Illinois at Urbana–Champaign,3.3,Computer Engineering,,,,Sorority,Varsity Field Hockey,Ultimate Frisbee,ASME,Economics Club,IEEE,,Communication,Prototyping,Presenting,Robotics,,1,
343,Female,Asian,29,Cornell University,3.5,Physics,University of California Los Angeles,3.7,Mathematics,Society of Women Engineers,Varsity Women's Track & Field,Hacking Club,ASME,Electric Vehicles Club,IEEE,Tau Beta Pi,Microsoft Word,Communication,Prototyping,CAD,ROS,1,
344,Female,Asian,29,California Institute of Technology,3.7,Electrical Engineering,Princeton University,3.7,Electrical Engineering,Varsity Volleyball,Varsity Women's Soccer,AIAA,Economics Club,Student Government,Aviation Club,Ultimate Frisbee,Simulation,Microsoft Excel,Presenting,Matlab,Math,1,
345,Female,Hispanic,33,Princeton University,3.6,Mathematics,Cornell University,3.5,Electrical Engineering,Varsity Field Hockey,Society of Women Engineers,Electric Vehicles Club,ASME,Aviation Club,Robotics Club,Economics Club,Simulation,Microsoft Excel,Matlab,Robotics,LaTeX,1,
346,Female,Black,24,University of Oxford,3.7,Computer Engineering,Massachusetts Institute of Technology,3.5,Mechanical Engineering,Varsity Women's Track & Field,Varsity Field Hockey,AIAA,IEEE,Aviation Club,Electric Vehicles Club,Robotics Club,Prototyping,C++,Microsoft Word,Coding,Presenting,1,
347,Female,Unspecified,22,Kyoto University,3.4,Mechanical Engineering,,,,Varsity Women's Soccer,Varsity Field Hockey,Economics Club,Electric Vehicles Club,Hacking Club,AIAA,,Robotics,Matlab,Presenting,ROS,,1,
348,Female,Unspecified,26,University of Wisconsin–Madison,3.4,Mathematics,,,,Varsity Field Hockey,Sorority,Engineers without Borders,Rocket Club,Robotics Club,ASME,,Matlab,Presenting,Microsoft Word,Microsoft Excel,,1,
349,Female,Black,25,University of Texas Southwestern Medical Center,3.3,Mechanical Engineering,,,,Varsity Women's Soccer,Varsity Field Hockey,Ultimate Frisbee,Rocket Club,Hacking Club,IEEE,,Experimental Design,Microsoft Excel,Presenting,Communication,,1,
350,Female,Unspecified,28,University of California Berkeley,3.5,Mathematics,Stanford University,3.6,Computer Engineering,Varsity Volleyball,Varsity Field Hockey,Habitat for Humanity,Rocket Club,ASME,Economics Club,IEEE,LaTeX,CAD,Simulation,Coding,Matlab,1,
351,Female,Unspecified,39,University of Chicago,3.3,Physics,,,,Varsity Volleyball,Varsity Field Hockey,ASME,Economics Club,Habitat for Humanity,Electric Vehicles Club,,Microsoft Excel,Communication,Python,LaTeX,,1,
352,Female,Unspecified,27,Columbia University,3.5,Computer Engineering,University of California Berkeley,3.5,Mathematics,Sorority,Varsity Volleyball,Aviation Club,Rocket Club,Tau Beta Pi,IEEE,Hacking Club,Simulation,Python,LaTeX,ROS,Communication,1,
353,Female,White,38,University of Wisconsin–Madison,3.2,Electrical Engineering,,,,Varsity Volleyball,Varsity Field Hockey,Rocket Club,Economics Club,Habitat for Humanity,Student Government,,Simulation,Presenting,Simulink,C++,,1,
354,Female,Other,35,Duke University,3.4,Electrical Engineering,,,,Varsity Volleyball,Varsity Field Hockey,Economics Club,IEEE,Engineers without Borders,Student Government,,Experimental Design,C++,ROS,LaTeX,,1,
355,Female,Asian,35,University of California San Diego,3.4,Mechanical Engineering,,,,Society of Women Engineers,Varsity Women's Track & Field,Tau Beta Pi,Robotics Club,Rocket Club,Student Government,,Communication,Math,Simulation,ROS,,1,
356,Female,Other,26,Johns Hopkins University,3.4,Electrical Engineering,,,,Varsity Field Hockey,Varsity Women's Track & Field,Aviation Club,Rocket Club,Economics Club,Hacking Club,,Python,Experimental Design,Microsoft Excel,Matlab,,1,
357,Female,Unspecified,31,University of Cambridge,3.7,Mathematics,Princeton University,3.7,Mathematics,Varsity Women's Track & Field,Varsity Women's Soccer,Student Government,Tau Beta Pi,AIAA,Engineers without Borders,Robotics Club,Microsoft Excel,LaTeX,Robotics,Matlab,Math,1,
358,Female,Hispanic,37,Massachusetts Institute of Technology,3.5,Mechanical Engineering,University of Oxford,3.6,Mechanical Engineering,Varsity Volleyball,Varsity Women's Soccer,Robotics Club,Tau Beta Pi,Rocket Club,Electric Vehicles Club,Engineers without Borders,Robotics,Communication,Microsoft Excel,Experimental Design,LaTeX,1,
359,Female,Hispanic,26,Hebrew University of Jerusalem,3.2,Electrical Engineering,,,,Varsity Field Hockey,Varsity Women's Soccer,Tau Beta Pi,ASME,Rocket Club,Robotics Club,,LaTeX,Communication,Matlab,Robotics,,1,
360,Female,Asian,33,Kyoto University,3.5,Mathematics,University of Cambridge,3.6,Mechanical Engineering,Varsity Volleyball,Varsity Women's Track & Field,IEEE,Tau Beta Pi,Student Government,Electric Vehicles Club,Rocket Club,Robotics,ROS,Microsoft Excel,Communication,Simulation,1,
361,Female,Hispanic,25,University of Cambridge,3.5,Electrical Engineering,Princeton University,3.6,Electrical Engineering,Society of Women Engineers,Varsity Volleyball,Economics Club,Electric Vehicles Club,Hacking Club,IEEE,AIAA,Microsoft Word,CAD,C++,Experimental Design,Python,1,
362,Female,Hispanic,34,University of Pennsylvania,3.4,Physics,,,,Varsity Volleyball,Varsity Field Hockey,Aviation Club,Electric Vehicles Club,Engineers without Borders,Rocket Club,,LaTeX,Coding,Math,Simulation,,1,
363,Female,White,34,University of Chicago,3.7,Physics,Yale University,3.6,Mechanical Engineering,Varsity Women's Soccer,Varsity Field Hockey,Ultimate Frisbee,Economics Club,Hacking Club,ASME,Engineers without Borders,Simulink,Robotics,CAD,ROS,Prototyping,1,
364,Female,Unspecified,32,University of California Los Angeles,3.6,Aerospace Engineering,Swiss Federal Institute of Technology in Zurich,3.5,Physics,Sorority,Varsity Field Hockey,IEEE,Student Government,Ultimate Frisbee,Electric Vehicles Club,Economics Club,Math,Microsoft Word,Coding,Robotics,C++,1,
365,Female,Asian,36,University of Illinois at Urbana–Champaign,3.5,Aerospace Engineering,,,,Varsity Volleyball,Sorority,Rocket Club,Hacking Club,Ultimate Frisbee,Tau Beta Pi,,Presenting,Experimental Design,Microsoft Excel,C++,,1,
366,Female,Asian,27,University of Oxford,3.5,Electrical Engineering,University of Chicago,3.6,Mechanical Engineering,Society of Women Engineers,Varsity Women's Soccer,Rocket Club,Engineers without Borders,Hacking Club,Electric Vehicles Club,Student Government,LaTeX,Python,Math,Presenting,Microsoft Excel,1,
367,Female,White,38,University of California San Diego,3.3,Mechanical Engineering,,,,Varsity Women's Track & Field,Varsity Women's Soccer,ASME,Electric Vehicles Club,Robotics Club,Engineers without Borders,,Simulation,Math,Robotics,Python,,1,
368,Female,Black,29,University of Chicago,3.7,Aerospace Engineering,California Institute of Technology,3.7,Electrical Engineering,Sorority,Varsity Women's Soccer,ASME,Aviation Club,Economics Club,Student Government,Habitat for Humanity,Microsoft Excel,Simulink,Robotics,C++,Python,1,
369,Female,Asian,22,New York University,3.3,Mathematics,,,,Varsity Field Hockey,Varsity Women's Soccer,Hacking Club,Habitat for Humanity,Robotics Club,Economics Club,,CAD,Robotics,Simulation,LaTeX,,1,
370,Female,Asian,33,University of Tokyo,3.6,Mathematics,Johns Hopkins University,3.5,Computer Engineering,Varsity Women's Track & Field,Varsity Volleyball,Student Government,IEEE,Electric Vehicles Club,Rocket Club,Aviation Club,Communication,Simulink,Coding,Math,Experimental Design,1,
371,Female,Black,24,Weizmann Institute of Science,3.7,Mathematics,Swiss Federal Institute of Technology in Zurich,3.5,Computer Engineering,Varsity Volleyball,Varsity Women's Track & Field,Engineers without Borders,Economics Club,Student Government,Habitat for Humanity,Aviation Club,LaTeX,Matlab,Math,Experimental Design,Prototyping,1,
372,Female,Hispanic,31,Swiss Federal Institute of Technology in Zurich,3.3,Mathematics,,,,Varsity Women's Track & Field,Society of Women Engineers,Engineers without Borders,ASME,Ultimate Frisbee,Rocket Club,,LaTeX,Coding,Prototyping,Python,,1,
373,Female,Other,26,University of Cambridge,3.5,Physics,University of California Los Angeles,3.6,Physics,Varsity Volleyball,Varsity Women's Soccer,AIAA,Tau Beta Pi,Robotics Club,Aviation Club,Ultimate Frisbee,Robotics,Simulink,C++,Matlab,Math,1,
374,Female,Black,39,University of Wisconsin–Madison,3.4,Mathematics,,,,Varsity Volleyball,Varsity Women's Track & Field,Engineers without Borders,AIAA,ASME,Robotics Club,,CAD,Microsoft Excel,Presenting,Robotics,,1,
375,Female,White,23,Kyoto University,3.7,Electrical Engineering,Yale University,3.7,Mathematics,Varsity Women's Soccer,Varsity Volleyball,Hacking Club,Rocket Club,Tau Beta Pi,Aviation Club,AIAA,Microsoft Excel,Robotics,C++,Simulink,LaTeX,1,
376,Female,Unspecified,28,Cornell University,3.5,Computer Engineering,,,,Sorority,Varsity Field Hockey,Habitat for Humanity,IEEE,Hacking Club,Aviation Club,,Prototyping,C++,Microsoft Excel,Experimental Design,,1,
377,Female,Unspecified,34,University of California San Diego,3.3,Physics,,,,Sorority,Varsity Field Hockey,Economics Club,Engineers without Borders,AIAA,Ultimate Frisbee,,LaTeX,Simulation,CAD,Python,,1,
378,Female,Other,35,New York University,3.2,Mechanical Engineering,,,,Varsity Volleyball,Varsity Field Hockey,Hacking Club,ASME,AIAA,Tau Beta Pi,,Matlab,Communication,CAD,Experimental Design,,1,
379,Female,White,34,Yale University,3.6,Aerospace Engineering,Columbia University,3.6,Physics,Society of Women Engineers,Varsity Women's Soccer,Ultimate Frisbee,Electric Vehicles Club,Tau Beta Pi,IEEE,ASME,Prototyping,C++,Microsoft Excel,CAD,Communication,1,
380,Female,Asian,29,University of Illinois at Urbana–Champaign,3.2,Physics,,,,Society of Women Engineers,Sorority,Aviation Club,Economics Club,Electric Vehicles Club,Engineers without Borders,,Math,Simulation,Robotics,Microsoft Word,,1,
381,Female,Hispanic,22,University of Illinois at Urbana–Champaign,3.4,Mechanical Engineering,,,,Society of Women Engineers,Varsity Volleyball,Hacking Club,IEEE,Economics Club,Rocket Club,,Prototyping,ROS,Coding,CAD,,1,
382,Female,Unspecified,31,Harvard University,3.5,Electrical Engineering,California Institute of Technology,3.7,Aerospace Engineering,Varsity Field Hockey,Sorority,Electric Vehicles Club,Hacking Club,Aviation Club,Robotics Club,ASME,Presenting,CAD,LaTeX,Math,Prototyping,1,
383,Female,White,36,University of Wisconsin–Madison,3.3,Mathematics,,,,Sorority,Society of Women Engineers,Rocket Club,AIAA,Robotics Club,Hacking Club,,Simulink,Communication,Prototyping,Matlab,,1,
384,Female,White,34,Columbia University,3.5,Computer Engineering,University of California Los Angeles,3.6,Mathematics,Sorority,Varsity Field Hockey,Aviation Club,Electric Vehicles Club,Tau Beta Pi,AIAA,IEEE,ROS,CAD,LaTeX,Coding,Simulation,1,
385,Female,Hispanic,37,University of Wisconsin–Madison,3.3,Mathematics,,,,Varsity Women's Soccer,Society of Women Engineers,Habitat for Humanity,AIAA,Ultimate Frisbee,Robotics Club,,Coding,Presenting,Experimental Design,Python,,1,
386,Female,Hispanic,30,University of California Berkeley,3.6,Mechanical Engineering,University of Cambridge,3.5,Physics,Varsity Women's Soccer,Varsity Women's Track & Field,Hacking Club,Student Government,Tau Beta Pi,Ultimate Frisbee,Rocket Club,Communication,C++,Math,Microsoft Excel,Coding,1,
387,Female,Black,39,Weizmann Institute of Science,3.2,Electrical Engineering,,,,Varsity Volleyball,Society of Women Engineers,Electric Vehicles Club,Rocket Club,AIAA,IEEE,,C++,Simulation,Matlab,ROS,,1,
388,Female,Unspecified,24,Princeton University,3.6,Mathematics,University of Cambridge,3.5,Mathematics,Varsity Field Hockey,Sorority,IEEE,Habitat for Humanity,Engineers without Borders,AIAA,Economics Club,Simulink,CAD,LaTeX,Experimental Design,Microsoft Excel,1,
389,Female,Hispanic,34,University of Wisconsin–Madison,3.5,Mechanical Engineering,,,,Sorority,Varsity Field Hockey,Electric Vehicles Club,Habitat for Humanity,Tau Beta Pi,Robotics Club,,Robotics,Python,Coding,Microsoft Word,,1,
390,Female,Hispanic,35,Johns Hopkins University,3.5,Electrical Engineering,University of California Berkeley,3.5,Mechanical Engineering,Varsity Women's Soccer,Sorority,Economics Club,Student Government,Habitat for Humanity,ASME,Engineers without Borders,Python,Presenting,Simulink,LaTeX,Robotics,1,
391,Female,White,24,University of California San Diego,3.4,Electrical Engineering,,,,Varsity Women's Track & Field,Society of Women Engineers,Robotics Club,Economics Club,AIAA,Ultimate Frisbee,,Microsoft Word,Presenting,Matlab,ROS,,1,
392,Female,White,29,University of California Berkeley,3.6,Physics,Swiss Federal Institute of Technology in Zurich,3.6,Mechanical Engineering,Varsity Volleyball,Society of Women Engineers,Tau Beta Pi,ASME,IEEE,Electric Vehicles Club,Economics Club,Microsoft Excel,Simulation,Presenting,Microsoft Word,Experimental Design,1,
393,Female,Asian,30,New York University,3.4,Computer Engineering,,,,Society of Women Engineers,Varsity Women's Track & Field,Hacking Club,Robotics Club,Habitat for Humanity,Engineers without Borders,,Python,Presenting,Math,ROS,,1,
394,Female,Unspecified,29,Weizmann Institute of Science,3.6,Mathematics,Weizmann Institute of Science,3.6,Aerospace Engineering,Society of Women Engineers,Sorority,Rocket Club,Student Government,ASME,Engineers without Borders,AIAA,Simulink,Microsoft Excel,LaTeX,Simulation,C++,1,
395,Female,Black,23,Johns Hopkins University,3.6,Physics,University of Cambridge,3.6,Mechanical Engineering,Varsity Women's Soccer,Sorority,Student Government,Ultimate Frisbee,Rocket Club,Economics Club,IEEE,Python,ROS,Matlab,Simulink,Experimental Design,1,
396,Female,Asian,35,University of California Berkeley,3.3,Mathematics,,,,Varsity Volleyball,Varsity Field Hockey,AIAA,Student Government,Robotics Club,Ultimate Frisbee,,Simulation,C++,Microsoft Word,Experimental Design,,1,
397,Female,Other,38,California Institute of Technology,3.6,Mechanical Engineering,University of California Los Angeles,3.5,Physics,Varsity Volleyball,Varsity Women's Soccer,Electric Vehicles Club,IEEE,Tau Beta Pi,Hacking Club,Habitat for Humanity,LaTeX,Python,Microsoft Excel,Simulink,Prototyping,1,
398,Female,Unspecified,37,Harvard University,3.6,Electrical Engineering,Swiss Federal Institute of Technology in Zurich,3.6,Aerospace Engineering,Society of Women Engineers,Varsity Volleyball,Tau Beta Pi,Aviation Club,IEEE,Student Government,AIAA,Simulation,Presenting,CAD,Prototyping,ROS,1,
399,Female,Hispanic,35,Princeton University,3.6,Mathematics,University of California Los Angeles,3.7,Mathematics,Varsity Volleyball,Sorority,Economics Club,Aviation Club,Student Government,ASME,Rocket Club,Matlab,CAD,Communication,Microsoft Word,Simulink,1,
400,Male,Asian,37,University of Tokyo,3.7,Physics,University of Cambridge,3.6,Mechanical Engineering,Fraternity 3,Varsity Hockey,IEEE,Economics Club,Engineers without Borders,Habitat for Humanity,ASME,Robotics,C++,Prototyping,Coding,ROS,1,
401,Male,White,24,California Institute of Technology,3.5,Electrical Engineering,University of Cambridge,3.7,Mathematics,Fraternity 3,Varsity Men's Track & Field,Student Government,ASME,IEEE,Tau Beta Pi,Electric Vehicles Club,Matlab,Coding,CAD,Microsoft Word,ROS,1,
402,Male,Black,27,Rockefeller University,3.4,Mathematics,,,,Fraternity 3,Fraternity 1,AIAA,Student Government,Ultimate Frisbee,Robotics Club,,Robotics,Coding,Communication,ROS,,1,
403,Male,Asian,22,University of Illinois at Urbana–Champaign,3.3,Computer Engineering,,,,Fraternity 3,Varsity Hockey,Rocket Club,Engineers without Borders,Ultimate Frisbee,Tau Beta Pi,,Prototyping,Python,Coding,ROS,,1,
404,Male,Unspecified,39,University of Wisconsin–Madison,3.5,Physics,,,,Varsity Men's Track & Field,Varsity Men's Soccer,Rocket Club,Ultimate Frisbee,AIAA,Tau Beta Pi,,Python,ROS,Microsoft Excel,Coding,,1,
405,Male,Black,48,Harvard University,3.7,Aerospace Engineering,Kyoto University,3.5,Electrical Engineering,Varsity Men's Soccer,Varsity Men's Track & Field,Student Government,Engineers without Borders,Rocket Club,ASME,AIAA,Experimental Design,Simulation,C++,ROS,LaTeX,1,
406,Male,Unspecified,23,Rockefeller University,3.2,Computer Engineering,,,,Fraternity 3,Fraternity 1,Ultimate Frisbee,Rocket Club,Aviation Club,AIAA,,Communication,Presenting,C++,LaTeX,,1,
407,Male,Asian,55,University of California Berkeley,3.5,Computer Engineering,,,,Varsity Men's Track & Field,Varsity Men's Soccer,Ultimate Frisbee,Robotics Club,Electric Vehicles Club,Rocket Club,,Experimental Design,Python,Microsoft Excel,Simulation,,1,
408,Male,Black,57,University of Oxford,3.7,Physics,Yale University,3.5,Aerospace Engineering,Fraternity 1,Varsity Football,Robotics Club,AIAA,Rocket Club,Hacking Club,Student Government,LaTeX,Matlab,Math,ROS,Microsoft Excel,1,
409,Male,Other,24,Weizmann Institute of Science,3.6,Mathematics,Princeton University,3.7,Aerospace Engineering,Varsity Men's Soccer,Fraternity 2,ASME,IEEE,Economics Club,Aviation Club,Rocket Club,Experimental Design,C++,Math,Python,Microsoft Word,1,
410,Male,Black,46,University of California San Diego,3.5,Computer Engineering,,,,Varsity Hockey,Fraternity 1,Ultimate Frisbee,Student Government,AIAA,Electric Vehicles Club,,Microsoft Excel,Robotics,Prototyping,Presenting,,1,
411,Male,Other,58,Harvard University,3.5,Mechanical Engineering,University of Cambridge,3.5,Physics,Fraternity 2,Fraternity 1,Habitat for Humanity,Student Government,AIAA,Economics Club,Electric Vehicles Club,Prototyping,Math,Matlab,Python,Simulink,1,
412,Male,Hispanic,44,University of Chicago,3.5,Computer Engineering,California Institute of Technology,3.7,Mathematics,Varsity Football,Fraternity 1,Tau Beta Pi,Rocket Club,AIAA,Ultimate Frisbee,Economics Club,Presenting,Coding,Microsoft Excel,Prototyping,LaTeX,1,
413,Male,Other,58,Princeton University,3.7,Mathematics,Princeton University,3.5,Aerospace Engineering,Varsity Men's Track & Field,Varsity Football,Engineers without Borders,AIAA,Ultimate Frisbee,Aviation Club,Robotics Club,Prototyping,ROS,Coding,Communication,CAD,1,
414,Male,Asian,51,University of California Los Angeles,3.7,Aerospace Engineering,Stanford University,3.7,Computer Engineering,Varsity Hockey,Fraternity 3,ASME,Economics Club,Hacking Club,Electric Vehicles Club,Ultimate Frisbee,LaTeX,Prototyping,Coding,CAD,C++,1,
415,Male,Unspecified,29,University of Tokyo,3.6,Mathematics,University of Oxford,3.6,Computer Engineering,Fraternity 3,Varsity Men's Soccer,ASME,Student Government,Rocket Club,Ultimate Frisbee,Economics Club,Simulation,Microsoft Word,Communication,C++,Matlab,1,
416,Male,Asian,32,Swiss Federal Institute of Technology in Zurich,3.5,Mathematics,Swiss Federal Institute of Technology in Zurich,3.5,Electrical Engineering,Varsity Men's Track & Field,Varsity Football,IEEE,Aviation Club,Hacking Club,Economics Club,Student Government,C++,Python,Communication,Microsoft Excel,Matlab,1,
417,Male,Other,41,University of California Los Angeles,3.2,Mechanical Engineering,,,,Fraternity 1,Varsity Football,Aviation Club,IEEE,Habitat for Humanity,Economics Club,,Coding,Presenting,Math,Prototyping,,1,
418,Male,Unspecified,33,Weizmann Institute of Science,3.5,Physics,University of Oxford,3.7,Physics,Fraternity 2,Varsity Football,Electric Vehicles Club,IEEE,Habitat for Humanity,AIAA,Robotics Club,Matlab,Simulink,Python,Communication,Prototyping,1,
419,Male,White,30,University of Wisconsin–Madison,3.3,Mechanical Engineering,,,,Varsity Football,Varsity Men's Soccer,Student Government,Hacking Club,AIAA,Aviation Club,,Robotics,ROS,Simulation,LaTeX,,1,
420,Male,Hispanic,51,Duke University,3.3,Physics,,,,Varsity Men's Soccer,Fraternity 3,Aviation Club,Economics Club,AIAA,Habitat for Humanity,,Math,Presenting,LaTeX,Microsoft Word,,1,
421,Male,Other,37,Princeton University,3.5,Mechanical Engineering,Harvard University,3.7,Mechanical Engineering,Fraternity 2,Varsity Men's Soccer,Electric Vehicles Club,Hacking Club,Aviation Club,Ultimate Frisbee,Economics Club,Microsoft Word,Python,CAD,Simulink,Presenting,1,
422,Male,Unspecified,24,Harvard University,3.6,Aerospace Engineering,University of California Berkeley,3.6,Mechanical Engineering,Varsity Men's Track & Field,Varsity Hockey,ASME,Aviation Club,Tau Beta Pi,Student Government,Engineers without Borders,LaTeX,Experimental Design,Presenting,Math,Communication,1,
423,Male,Asian,23,University of California Berkeley,3.5,Physics,,,,Varsity Men's Soccer,Fraternity 2,Electric Vehicles Club,AIAA,Habitat for Humanity,IEEE,,Simulation,Communication,Python,Prototyping,,1,
424,Male,Hispanic,41,University of California Los Angeles,3.6,Aerospace Engineering,Stanford University,3.6,Mathematics,Fraternity 2,Varsity Men's Track & Field,Hacking Club,Economics Club,Rocket Club,Tau Beta Pi,Habitat for Humanity,Prototyping,Matlab,LaTeX,Python,ROS,1,
425,Male,Hispanic,23,Johns Hopkins University,3.6,Mathematics,Columbia University,3.7,Electrical Engineering,Varsity Men's Soccer,Varsity Men's Track & Field,IEEE,ASME,Rocket Club,Robotics Club,AIAA,Matlab,Prototyping,Microsoft Word,Microsoft Excel,C++,1,
426,Male,Hispanic,40,Yale University,3.7,Mechanical Engineering,University of California Los Angeles,3.6,Physics,Varsity Football,Fraternity 2,Aviation Club,Hacking Club,Tau Beta Pi,Habitat for Humanity,Student Government,CAD,Communication,C++,LaTeX,Presenting,1,
427,Male,Black,47,Cornell University,3.5,Physics,,,,Fraternity 2,Varsity Hockey,Electric Vehicles Club,Robotics Club,AIAA,IEEE,,CAD,Prototyping,Microsoft Excel,Simulation,,1,
428,Male,Asian,51,University of California Berkeley,3.2,Aerospace Engineering,,,,Varsity Hockey,Varsity Football,Robotics Club,Student Government,Electric Vehicles Club,Aviation Club,,Microsoft Word,Robotics,Simulation,Matlab,,1,
429,Male,Other,27,Swiss Federal Institute of Technology in Zurich,3.3,Computer Engineering,,,,Varsity Hockey,Varsity Men's Track & Field,Engineers without Borders,ASME,Economics Club,Rocket Club,,Presenting,LaTeX,Microsoft Word,Microsoft Excel,,1,
430,Male,Asian,22,Imperial College London,3.3,Electrical Engineering,,,,Varsity Men's Soccer,Varsity Hockey,Hacking Club,IEEE,Ultimate Frisbee,Electric Vehicles Club,,LaTeX,Robotics,ROS,Python,,1,
431,Male,Unspecified,56,University of California San Diego,3.4,Computer Engineering,,,,Varsity Men's Track & Field,Fraternity 3,IEEE,Ultimate Frisbee,Economics Club,Rocket Club,,CAD,LaTeX,Microsoft Word,Robotics,,1,
432,Male,Asian,33,University of Pennsylvania,3.6,Mechanical Engineering,Harvard University,3.7,Computer Engineering,Varsity Men's Track & Field,Fraternity 3,Tau Beta Pi,Rocket Club,Aviation Club,Electric Vehicles Club,Economics Club,Simulation,CAD,C++,Simulink,Matlab,1,
