Person Number,Sex,Race,Age,Undergraduate School Name,Undergraduate GPA,Undergraduate Major,Graduate School Name,Graduate GPA,Graduate Major,Activity1,Activity2,Activity3,Activity4,Activity5,Activity6,Activity7,Skill1,Skill2,Skill3,Skill4,Skill5,Is Employed
878,2,2,41,10,3.4,5,10,3.4,5,8,13,26,21,17,19,0,9,3,16,4,0,1
879,2,3,52,11,3.2,4,11,3.2,4,11,7,22,26,18,15,0,2,15,16,5,0,1
880,2,3,24,16,3.2,6,16,3.2,6,10,13,15,14,18,16,0,9,3,8,1,0,1
881,2,1,60,11,3.5,3,11,3.5,3,12,8,14,20,19,24,23,3,7,11,17,12,1
882,2,0,63,18,3.3,6,18,3.3,6,10,11,15,22,24,17,0,11,12,6,3,0,1
883,2,1,39,29,3.3,2,29,3.3,2,9,8,26,22,15,24,0,5,1,17,13,0,1
884,2,3,48,21,3.4,1,21,3.4,1,7,10,27,17,18,14,0,4,8,7,12,0,1
885,2,3,37,1,3.5,2,1,3.5,2,9,12,16,15,22,14,20,13,5,9,1,7,1
886,2,2,58,17,3.4,5,17,3.4,5,10,8,23,26,18,20,0,10,7,2,9,0,1
887,2,4,47,28,3.4,5,28,3.4,5,11,13,19,25,14,26,0,7,12,6,16,0,1
888,2,0,60,16,3.4,4,16,3.4,4,13,7,16,22,23,19,0,12,14,3,16,0,1
889,2,2,50,7,3.5,3,7,3.5,3,9,11,20,24,26,19,17,7,13,6,8,15,1
890,2,2,43,11,3.7,6,11,3.7,6,9,13,26,17,16,14,27,5,6,10,12,1,1
891,2,0,39,6,3.7,6,6,3.7,6,12,8,15,23,24,22,16,2,10,12,13,5,1
892,2,4,46,26,3.3,3,26,3.3,3,13,8,25,22,20,24,0,11,5,10,8,0,1
893,2,2,49,20,3.2,3,20,3.2,3,7,10,18,22,24,17,0,15,11,8,7,0,1
894,2,5,43,20,3.2,4,20,3.2,4,12,7,14,17,25,24,0,4,11,6,12,0,1
895,2,5,25,14,3.3,2,14,3.3,2,11,8,26,22,17,27,0,6,1,17,13,0,1
896,2,3,31,21,3.4,2,21,3.4,2,10,9,22,15,16,26,0,10,5,17,2,0,1
897,2,4,55,2,3.7,2,2,3.7,2,12,7,24,21,25,16,14,14,6,13,1,3,1
898,2,5,25,19,3.5,1,19,3.5,1,9,10,20,15,16,19,0,10,5,13,1,0,1
899,2,1,58,9,3.6,2,9,3.6,2,12,9,18,16,24,17,25,13,9,1,7,2,1
900,2,2,35,28,3.3,2,28,3.3,2,8,12,22,25,16,14,0,8,5,17,10,0,1
901,2,3,50,24,3.5,5,24,3.5,5,11,9,22,14,17,23,0,7,16,2,13,0,1
902,2,0,35,1,3.7,3,1,3.7,3,13,7,26,22,15,25,23,8,15,12,1,3,1
903,2,0,22,12,3.3,3,12,3.3,3,7,10,18,14,22,24,0,1,16,7,12,0,1
904,2,5,48,19,3.3,5,19,3.3,5,8,9,18,16,17,14,0,1,14,16,9,0,1
905,2,3,23,18,3.4,2,18,3.4,2,12,8,22,16,19,23,0,11,17,3,1,0,1
906,2,3,53,26,3.4,4,26,3.4,4,8,13,24,22,16,26,0,11,12,13,14,0,1
907,2,1,55,13,3.7,1,13,3.7,1,9,10,25,14,24,23,17,12,7,17,2,15,1
908,2,4,46,26,3.2,4,26,3.2,4,12,10,25,21,19,24,0,14,2,6,8,0,1
909,2,0,38,18,3.7,6,18,3.7,6,12,8,14,17,22,15,19,8,4,17,9,6,1
910,2,4,45,17,3.6,3,17,3.6,3,11,9,23,17,14,15,27,17,3,2,4,1,1
911,2,4,38,15,3.2,3,15,3.2,3,11,7,27,15,22,18,0,4,9,11,1,0,1
912,2,3,39,25,3.2,3,25,3.2,3,7,11,27,21,26,15,0,9,17,12,14,0,1
913,2,2,48,18,3.3,2,18,3.3,2,11,13,20,14,27,25,0,14,11,7,3,0,1
914,2,4,22,15,3.3,4,15,3.3,4,9,8,18,22,21,15,0,17,12,3,8,0,1
915,2,5,49,13,3.5,1,13,3.5,1,11,9,21,20,26,17,15,16,5,12,9,2,1
916,2,3,58,15,3.5,4,15,3.5,4,12,11,15,23,25,21,0,1,7,15,6,0,1
917,2,5,38,13,3.5,6,13,3.5,6,12,8,19,17,22,15,0,16,12,6,1,0,1
918,2,3,44,3,3.6,2,3,3.6,2,10,11,17,16,22,20,14,13,11,12,10,15,1
919,2,4,61,21,3.5,3,21,3.5,3,9,8,19,23,25,18,0,2,14,6,9,0,1
920,2,2,26,10,3.5,4,10,3.5,4,8,9,27,23,16,15,26,13,17,3,1,6,1
921,2,1,24,17,3.4,5,17,3.4,5,11,8,26,23,25,15,0,7,10,5,13,0,1
922,2,4,53,13,3.6,1,13,3.6,1,12,11,22,20,24,18,15,2,13,16,6,5,1
923,2,3,51,24,3.5,2,24,3.5,2,10,13,21,20,14,26,0,1,15,13,7,0,1
924,2,4,48,11,3.5,4,11,3.5,4,9,8,24,25,14,23,15,11,3,4,1,8,1
925,2,5,28,21,3.3,5,21,3.3,5,7,9,22,18,15,24,0,7,2,5,13,0,1
926,2,2,36,12,3.5,5,12,3.5,5,7,10,27,21,20,23,17,7,16,12,17,6,1
927,2,4,44,1,3.6,2,1,3.6,2,10,7,22,16,23,15,24,8,16,15,2,10,1
928,2,5,27,3,3.6,2,3,3.6,2,12,9,25,17,21,22,14,4,6,13,1,12,1
929,2,0,58,13,3.6,2,13,3.6,2,11,13,19,21,20,16,26,8,10,4,16,14,1
930,2,2,61,27,3.4,4,27,3.4,4,11,10,23,18,25,15,0,14,8,2,12,0,1
931,2,1,59,28,3.2,3,28,3.2,3,10,9,18,19,20,16,0,9,16,14,3,0,1
932,2,5,29,12,3.5,6,12,3.5,6,12,10,21,16,18,22,0,2,10,5,15,0,1
933,2,1,52,14,3.5,1,14,3.5,1,13,7,23,19,27,15,25,16,5,2,8,1,1
934,2,2,58,9,3.7,1,9,3.7,1,11,12,27,18,22,21,16,13,6,15,2,9,1
935,2,0,29,9,3.7,5,9,3.7,5,13,7,16,25,17,20,14,16,1,13,7,12,1
936,2,4,57,14,3.4,6,14,3.4,6,12,9,17,18,16,25,0,14,8,2,10,0,1
937,2,4,63,25,3.4,5,25,3.4,5,7,10,27,20,23,26,0,8,14,17,15,0,1
938,2,4,56,25,3.2,1,25,3.2,1,12,10,17,21,20,27,0,4,5,6,15,0,1
939,2,5,33,13,3.4,5,13,3.4,5,7,8,16,17,27,20,0,9,5,15,12,0,1
940,2,2,58,4,3.5,2,4,3.5,2,8,9,24,19,27,21,20,10,7,5,16,15,1
941,2,0,46,23,3.3,1,23,3.3,1,7,11,18,26,22,16,0,1,7,11,12,0,1
942,2,1,60,8,3.7,3,8,3.7,3,8,11,20,27,17,22,14,15,7,1,2,13,1
943,2,5,36,18,3.6,2,18,3.6,2,11,12,26,21,17,20,25,12,10,17,15,16,1
944,2,0,63,24,3.5,2,24,3.5,2,9,8,26,22,20,25,0,3,17,14,13,0,1
945,2,2,48,19,3.6,6,19,3.6,6,8,11,17,18,21,22,25,7,5,16,12,4,1
946,2,0,60,26,3.3,3,26,3.3,3,9,13,21,17,24,16,0,14,12,2,7,0,1
947,2,0,50,18,3.6,5,18,3.6,5,11,13,21,19,14,25,23,17,10,1,7,2,1
948,2,5,60,23,3.5,4,23,3.5,4,7,13,22,17,14,23,0,15,7,14,10,0,1
949,2,1,52,1,3.6,5,1,3.6,5,8,9,18,27,21,17,22,10,2,3,11,12,1
950,2,0,33,5,3.5,5,5,3.5,5,12,7,18,15,20,21,26,9,3,16,4,6,1
951,2,0,48,5,3.7,2,5,3.7,2,12,10,24,21,20,16,26,15,2,14,3,4,1
952,2,2,22,12,3.6,2,12,3.6,2,7,13,25,14,19,27,22,9,4,16,15,17,1
953,2,0,42,22,3.5,2,22,3.5,2,11,13,24,22,26,27,0,9,12,14,5,0,1
954,2,2,39,22,3.4,2,22,3.4,2,12,9,16,21,24,19,0,4,11,8,12,0,1
955,2,4,26,2,3.7,3,2,3.7,3,7,10,15,20,18,19,16,13,17,4,3,9,1
956,2,4,47,3,3.5,3,3,3.5,3,13,11,17,22,15,20,16,5,9,10,6,15,1
957,2,5,52,18,3.7,1,18,3.7,1,8,9,25,24,23,18,22,4,11,8,9,17,1
958,2,2,35,2,3.6,2,2,3.6,2,12,7,24,17,15,16,20,16,17,13,11,1,1
959,2,4,64,18,3.5,1,18,3.5,1,13,11,14,16,17,19,0,16,15,17,8,0,1
960,2,5,32,21,3.2,5,21,3.2,5,13,8,26,15,14,24,0,1,4,16,7,0,1
961,2,5,31,22,3.3,3,22,3.3,3,11,12,19,23,16,17,0,9,3,17,1,0,1
962,2,3,57,25,3.5,2,25,3.5,2,7,10,27,20,25,16,0,1,14,17,9,0,1
963,2,0,64,12,3.5,3,12,3.5,3,13,12,25,19,27,16,20,17,5,16,14,2,1
964,2,0,40,26,3.2,6,26,3.2,6,10,8,19,23,25,15,0,12,4,2,8,0,1
965,2,4,52,13,3.2,1,13,3.2,1,13,11,15,22,24,18,0,6,7,11,8,0,1
966,2,0,52,15,3.3,2,15,3.3,2,12,10,23,26,22,16,0,15,6,16,9,0,1
967,2,5,56,25,3.5,1,25,3.5,1,8,12,16,22,24,14,0,13,4,10,2,0,1
968,2,0,37,4,3.6,4,4,3.6,4,12,8,14,15,22,24,26,9,6,7,13,11,1
969,2,1,35,21,3.5,4,21,3.5,4,12,10,14,25,16,26,0,11,17,15,6,0,1
970,2,3,46,12,3.5,5,12,3.5,5,9,11,26,17,23,20,0,8,17,7,1,0,1
971,2,2,36,14,3.6,2,14,3.6,2,7,8,14,16,26,25,24,1,4,11,12,6,1
972,2,0,27,16,3.2,4,16,3.2,4,9,7,17,26,18,23,0,9,14,11,8,0,1
973,2,3,24,8,3.7,6,8,3.7,6,10,11,20,23,25,27,14,6,14,2,5,13,1
974,2,5,55,12,3.3,3,12,3.3,3,12,11,21,16,20,27,0,5,10,14,6,0,1
975,2,5,52,17,3.2,5,17,3.2,5,8,7,20,22,23,17,0,3,9,13,7,0,1
976,2,4,49,29,3.2,5,29,3.2,5,12,13,20,25,14,16,0,3,1,4,12,0,1
977,2,2,51,21,3.5,5,21,3.5,5,12,9,26,18,24,23,0,3,14,8,1,0,1
978,2,2,23,18,3.5,3,18,3.5,3,10,9,18,27,26,22,0,3,4,13,7,0,1
979,2,1,45,11,3.7,6,11,3.7,6,13,10,26,25,14,22,24,9,2,13,5,16,1
980,2,0,34,19,3.4,4,19,3.4,4,9,12,16,25,14,23,0,2,7,11,3,0,1
981,2,5,59,13,3.3,5,13,3.3,5,12,11,26,15,23,20,0,6,13,4,3,0,1
982,2,2,48,28,3.3,4,28,3.3,4,12,11,17,18,15,21,0,4,7,6,16,0,1
983,2,4,43,26,3.2,5,26,3.2,5,8,10,23,18,20,19,0,1,11,14,3,0,1
984,2,4,54,1,3.7,6,1,3.7,6,7,12,20,18,15,25,21,4,10,3,6,5,1
985,2,4,50,17,3.4,1,17,3.4,1,10,13,21,20,26,16,0,16,9,1,4,0,1
986,2,5,29,15,3.6,2,15,3.6,2,10,7,16,26,27,17,19,16,14,12,1,5,1
987,2,5,47,5,3.7,2,5,3.7,2,7,13,18,25,14,19,15,3,14,9,11,12,1
988,2,1,31,15,3.6,5,15,3.6,5,13,11,27,19,17,26,21,5,17,4,16,11,1
989,2,1,51,18,3.5,4,18,3.5,4,7,13,27,18,16,21,15,3,9,11,13,12,1
990,2,1,39,15,3.6,1,15,3.6,1,9,8,18,24,17,20,25,3,9,14,6,12,1
991,2,3,26,14,3.5,1,14,3.5,1,11,8,24,23,27,17,26,16,3,4,9,17,1
992,2,1,52,19,3.7,4,19,3.7,4,13,10,18,23,26,20,14,10,11,1,7,17,1
993,2,4,33,4,3.6,3,4,3.6,3,12,13,25,27,21,16,15,13,17,5,15,10,1
994,2,4,40,10,3.6,6,10,3.6,6,7,10,20,26,27,17,15,12,15,6,5,9,1
995,2,2,26,5,3.5,1,5,3.5,1,13,12,19,23,25,27,24,15,12,9,13,17,1
996,2,4,38,3,3.5,3,3,3.5,3,8,13,19,23,20,26,15,3,4,5,10,9,1
997,2,2,27,17,3.5,4,17,3.5,4,9,10,16,24,17,14,22,11,6,4,15,3,1
998,2,3,23,25,3.5,6,25,3.5,6,7,12,17,18,26,16,0,14,5,13,7,0,1
999,2,3,40,12,3.5,3,12,3.5,3,9,8,21,25,14,24,0,9,11,14,6,0,1
1000,2,3,44,12,3.6,1,12,3.6,1,13,10,19,20,26,27,25,14,5,9,7,13,1
1001,2,1,45,9,3.5,4,9,3.5,4,12,13,16,25,20,21,19,8,5,6,11,9,1
1002,2,5,48,14,3.6,1,14,3.6,1,8,11,21,17,25,24,15,4,11,5,14,2,1
1003,2,3,46,12,3.5,3,12,3.5,3,9,8,21,18,22,19,26,5,14,6,13,16,1
1004,2,2,50,29,3.3,2,29,3.3,2,8,7,27,17,18,22,0,3,2,6,17,0,1
1005,2,2,48,29,3.5,3,29,3.5,3,13,8,21,27,24,20,0,4,6,3,5,0,1
1006,2,5,57,10,3.2,3,10,3.2,3,10,7,20,21,15,19,0,4,3,16,9,0,1
1007,2,1,27,19,3.5,6,19,3.5,6,13,7,27,24,15,19,0,10,4,12,14,0,1
1008,2,0,53,25,3.5,2,25,3.5,2,9,8,19,20,24,17,0,7,6,9,8,0,1
1009,2,2,37,11,3.5,1,11,3.5,1,7,10,19,21,14,22,26,11,12,7,14,16,1
1010,2,0,48,18,3.4,3,18,3.4,3,10,11,15,27,25,21,0,1,8,12,13,0,1
1011,2,2,28,10,3.6,4,10,3.6,4,13,11,20,18,17,23,24,17,2,13,16,9,1
1012,2,2,31,19,3.6,6,19,3.6,6,11,9,18,23,22,25,20,7,10,4,9,15,1
1013,2,5,56,19,3.7,4,19,3.7,4,8,9,18,23,17,27,22,4,7,9,13,15,1
1014,2,5,46,24,3.5,2,24,3.5,2,10,11,22,20,24,18,0,9,6,17,12,0,1
1015,2,0,58,18,3.4,3,18,3.4,3,9,13,27,26,14,23,0,6,8,13,14,0,1
1016,2,3,64,14,3.6,2,14,3.6,2,13,8,26,14,27,19,25,8,6,15,17,4,1
1017,2,5,24,17,3.4,2,17,3.4,2,9,11,14,27,23,20,0,4,17,2,7,0,1
1018,2,5,58,28,3.3,4,28,3.3,4,10,13,16,24,26,20,0,8,5,7,12,0,1
1019,2,1,56,1,3.6,5,1,3.6,5,8,10,21,16,20,26,15,13,5,17,7,9,1
1020,2,2,38,5,3.5,4,5,3.5,4,13,7,16,20,24,18,19,14,11,16,3,8,1
1021,2,5,26,21,3.4,4,21,3.4,4,8,12,22,26,16,24,0,13,15,11,6,0,1
1022,2,1,31,5,3.7,2,5,3.7,2,8,9,25,14,27,19,21,3,7,6,13,12,1
1023,2,4,27,10,3.6,5,10,3.6,5,10,11,23,26,22,19,14,1,11,5,3,9,1
1024,2,4,43,13,3.2,2,13,3.2,2,10,9,18,23,16,15,0,13,14,15,8,0,1
1025,2,5,30,12,3.5,2,12,3.5,2,8,11,18,22,19,23,17,11,12,1,15,2,1
1026,2,3,29,22,3.5,5,22,3.5,5,13,8,24,14,22,18,0,16,17,15,12,0,1
1027,2,0,59,21,3.3,3,21,3.3,3,7,13,21,18,26,23,0,17,12,9,5,0,1
1028,2,2,43,11,3.4,1,11,3.4,1,12,7,21,14,20,27,0,16,2,4,6,0,1
1029,2,3,54,11,3.2,4,11,3.2,4,9,8,21,20,18,27,0,10,5,14,13,0,1
1030,2,0,23,13,3.5,2,13,3.5,2,8,9,16,18,21,24,26,15,8,11,12,17,1
1031,2,2,43,29,3.2,2,29,3.2,2,10,9,20,17,21,14,0,2,12,5,10,0,1
1032,2,3,58,6,3.7,2,6,3.7,2,11,8,26,21,22,14,24,7,12,16,13,4,1
1033,2,4,60,3,3.5,4,3,3.5,4,9,10,22,24,15,16,21,10,7,2,8,6,1
1034,2,5,25,14,3.7,6,14,3.7,6,7,8,25,26,27,24,16,17,5,13,14,1,1
1035,2,0,49,3,3.7,2,3,3.7,2,9,12,25,23,14,19,17,12,6,5,3,13,1
1036,2,3,40,8,3.6,3,8,3.6,3,7,11,14,26,24,27,25,16,15,8,12,5,1
1037,2,4,64,8,3.5,1,8,3.5,1,7,10,17,15,21,23,19,8,10,6,9,1,1
1038,2,3,23,17,3.5,2,17,3.5,2,8,13,19,24,17,14,20,5,8,15,11,16,1
1039,2,3,42,14,3.5,2,14,3.5,2,10,13,24,27,18,21,0,9,14,10,4,0,1
1040,2,1,30,27,3.3,3,27,3.3,3,8,9,20,25,14,21,0,16,4,13,11,0,1
1041,2,2,26,10,3.4,4,10,3.4,4,13,7,17,27,26,24,0,1,6,13,16,0,1
1042,2,2,51,11,3.5,4,11,3.5,4,9,13,23,14,20,17,0,13,9,4,2,0,1
1043,2,3,45,20,3.3,2,20,3.3,2,11,10,20,15,18,24,0,11,3,16,1,0,1
1044,2,5,33,1,3.5,3,1,3.5,3,10,13,21,15,24,14,17,3,1,15,12,4,1
1045,2,3,38,16,3.5,5,16,3.5,5,8,12,26,23,22,20,19,3,17,13,10,1,1
1046,2,4,44,3,3.5,3,3,3.5,3,13,8,15,18,17,23,25,15,10,12,7,16,1
1047,2,0,41,21,3.2,2,21,3.2,2,9,8,20,24,22,23,0,15,13,11,8,0,1
1048,2,3,35,14,3.6,2,14,3.6,2,7,13,17,15,23,27,22,11,17,13,6,7,1
1049,2,4,47,13,3.5,3,13,3.5,3,7,9,18,15,24,17,22,8,3,2,14,4,1
1050,2,0,31,19,3.6,1,19,3.6,1,12,7,16,26,22,18,24,7,14,5,8,11,1
1051,2,4,55,13,3.7,6,13,3.7,6,7,11,25,18,23,27,16,6,15,3,1,10,1
1052,2,3,36,1,3.7,5,1,3.7,5,13,8,15,26,22,18,20,11,5,15,4,12,1
1053,2,2,25,23,3.5,1,23,3.5,1,8,10,24,16,18,23,0,17,9,4,6,0,1
1054,2,1,50,2,3.5,6,2,3.5,6,12,7,21,26,14,15,27,1,8,5,13,17,1
1055,2,0,26,10,3.6,1,10,3.6,1,8,13,21,27,26,22,19,2,7,6,8,12,1
1056,2,0,59,12,3.2,5,12,3.2,5,12,10,18,17,20,21,0,14,9,15,17,0,1
1057,2,5,59,24,3.5,2,24,3.5,2,12,10,24,26,25,21,0,4,15,3,12,0,1
1058,2,4,37,7,3.7,3,7,3.7,3,13,9,25,23,19,16,22,15,11,6,9,2,1
1059,2,3,54,29,3.4,3,29,3.4,3,9,11,24,20,23,21,0,17,3,9,12,0,1
1060,2,1,34,13,3.5,6,13,3.5,6,9,11,27,18,15,16,23,1,14,5,11,12,1
1061,2,0,60,3,3.5,6,3,3.5,6,10,11,19,26,17,27,21,14,8,7,6,16,1
1062,2,4,59,11,3.3,4,11,3.3,4,7,12,27,26,17,20,0,12,1,16,13,0,1
1063,2,2,58,21,3.5,6,21,3.5,6,8,12,23,17,27,25,0,9,7,14,2,0,1
1064,2,2,26,22,3.2,4,22,3.2,4,12,9,20,22,24,27,0,1,5,4,6,0,1
1065,2,4,57,13,3.2,5,13,3.2,5,13,8,14,22,19,21,0,13,5,6,3,0,1
1066,2,5,42,25,3.3,1,25,3.3,1,11,9,18,27,26,16,0,9,12,3,7,0,1
1067,2,5,53,22,3.2,4,22,3.2,4,10,7,14,20,19,15,0,13,6,2,9,0,1
1068,2,1,28,29,3.4,1,29,3.4,1,9,8,20,26,16,27,0,4,16,14,7,0,1
1069,2,0,57,18,3.5,1,18,3.5,1,9,10,21,15,24,22,0,5,2,3,17,0,1
1070,2,5,45,14,3.5,3,14,3.5,3,7,12,18,25,27,22,24,7,13,4,1,3,1
1071,2,0,25,12,3.5,5,12,3.5,5,12,10,21,19,23,17,14,9,15,14,1,3,1
1072,2,1,26,16,3.7,1,16,3.7,1,10,8,17,14,26,23,22,12,16,11,2,6,1
1073,2,2,48,19,3.7,6,19,3.7,6,9,12,18,26,27,16,21,7,15,10,17,16,1
1074,2,3,37,13,3.5,2,13,3.5,2,8,11,21,25,14,15,0,2,6,10,9,0,1
1075,2,5,31,20,3.3,1,20,3.3,1,9,10,23,14,22,18,0,3,15,16,11,0,1
1076,2,2,58,21,3.3,1,21,3.3,1,9,8,23,19,22,16,0,1,7,5,17,0,1
1077,2,0,62,18,3.7,2,18,3.7,2,7,8,21,15,19,16,14,1,4,13,6,3,1
1078,2,2,41,24,3.3,4,24,3.3,4,12,9,22,21,26,17,0,11,15,13,16,0,1
1079,2,3,38,15,3.5,2,15,3.5,2,10,8,26,21,19,15,0,2,14,3,13,0,1
1080,2,0,32,5,3.5,4,5,3.5,4,12,11,16,19,24,22,17,11,8,4,9,17,1
1081,2,1,64,12,3.4,5,12,3.4,5,11,12,15,23,17,20,0,10,3,5,6,0,1
1082,2,3,43,22,3.3,4,22,3.3,4,10,11,19,24,22,18,0,15,13,5,16,0,1
1083,2,4,23,4,3.7,3,4,3.7,3,8,11,14,22,27,15,17,10,12,2,3,7,1
1084,2,2,61,15,3.7,3,15,3.7,3,11,7,25,14,22,24,20,10,1,9,8,4,1
1085,2,4,24,18,3.7,4,18,3.7,4,10,12,23,26,17,14,24,16,1,3,5,15,1
1086,2,4,25,12,3.5,3,12,3.5,3,9,8,25,23,19,27,0,15,8,10,3,0,1
1087,2,0,55,11,3.7,4,11,3.7,4,7,9,24,19,17,20,23,4,9,13,7,5,1
1088,2,1,63,2,3.7,3,2,3.7,3,8,12,27,22,20,18,17,17,14,1,7,2,1
1089,2,0,61,11,3.5,5,11,3.5,5,11,9,26,24,19,20,16,5,14,7,16,12,1
1090,2,1,36,2,3.6,1,2,3.6,1,11,9,17,14,27,21,26,9,6,10,12,13,1
1091,2,5,56,18,3.7,2,18,3.7,2,8,11,17,25,24,27,23,15,7,12,9,4,1
1092,2,0,35,13,3.5,1,13,3.5,1,12,7,25,18,23,22,0,3,14,8,13,0,1
1093,2,1,62,4,3.7,4,4,3.7,4,7,8,23,19,17,15,26,13,17,9,16,10,1
1094,2,4,62,3,3.6,1,3,3.6,1,9,12,24,15,26,16,22,17,16,8,12,2,1
1095,2,0,55,29,3.3,5,29,3.3,5,8,10,19,15,27,25,0,5,10,8,17,0,1
1096,2,3,43,14,3.3,1,14,3.3,1,13,10,21,27,16,26,0,12,5,15,11,0,1
1097,2,2,50,10,3.6,2,10,3.6,2,10,12,26,22,15,24,23,6,4,16,11,14,1
1098,2,3,22,10,3.5,6,10,3.5,6,10,11,21,20,23,15,22,1,3,7,10,8,1
1099,2,3,54,8,3.5,4,8,3.5,4,7,12,14,18,15,16,24,11,5,4,10,17,1
1100,2,4,49,25,3.5,5,25,3.5,5,9,10,26,17,27,25,0,17,7,12,8,0,1
1101,2,5,46,10,3.3,2,10,3.3,2,8,11,20,26,21,19,0,10,8,13,5,0,1
1102,2,5,37,22,3.3,3,22,3.3,3,8,10,16,21,17,18,0,17,3,7,8,0,1
1103,2,3,38,13,3.6,3,13,3.6,3,9,10,27,15,24,22,26,13,15,9,2,5,1
1104,2,4,26,28,3.3,1,28,3.3,1,10,9,16,24,26,20,0,12,1,3,16,0,1
1105,2,0,55,4,3.5,2,4,3.5,2,10,12,18,25,23,24,20,12,7,8,4,13,1
1106,2,5,50,17,3.6,6,17,3.6,6,13,7,20,21,22,24,26,11,2,16,7,10,1
1107,2,1,62,21,3.4,1,21,3.4,1,13,7,16,22,27,15,0,8,5,1,9,0,1
1108,2,4,46,25,3.3,3,25,3.3,3,10,8,19,15,26,21,0,5,16,4,6,0,1
1109,2,0,34,17,3.5,3,17,3.5,3,7,13,15,18,19,22,26,13,4,12,17,8,1
1110,2,4,62,14,3.6,4,14,3.6,4,10,7,15,26,16,24,18,1,15,3,12,16,1
1111,2,5,47,11,3.3,5,11,3.3,5,11,9,26,21,17,16,0,14,6,8,5,0,1
1112,2,2,64,21,3.4,1,21,3.4,1,7,8,23,26,25,24,0,6,12,2,16,0,1
1113,2,2,48,12,3.5,5,12,3.5,5,10,9,25,27,15,21,19,12,5,16,2,13,1
1114,2,3,44,12,3.6,6,12,3.6,6,8,13,23,25,22,17,21,14,17,10,7,8,1
1115,2,4,51,11,3.4,6,11,3.4,6,10,8,15,24,17,23,0,10,15,17,11,0,1
1116,2,0,55,12,3.5,2,12,3.5,2,12,13,26,25,21,19,0,17,12,14,2,0,1
1117,2,5,43,27,3.5,4,27,3.5,4,8,9,14,17,26,22,0,15,6,5,16,0,1
1118,2,1,55,27,3.3,2,27,3.3,2,13,11,21,22,15,23,0,4,2,17,1,0,1
1119,2,0,39,18,3.2,6,18,3.2,6,11,12,23,25,20,18,0,8,15,7,4,0,1
1120,2,4,56,29,3.3,6,29,3.3,6,12,11,21,27,14,15,0,17,11,5,10,0,1
1121,2,2,59,15,3.6,4,15,3.6,4,9,11,20,25,19,21,17,4,6,14,15,5,1
1122,2,2,28,25,3.5,2,25,3.5,2,11,10,16,21,23,18,0,10,13,8,7,0,1
1123,2,4,43,7,3.6,2,7,3.6,2,10,9,14,17,24,20,26,7,6,3,14,11,1
1124,2,5,36,28,3.4,1,28,3.4,1,11,9,14,22,19,20,0,3,9,17,12,0,1
1125,2,4,59,24,3.3,4,24,3.3,4,9,13,15,25,17,20,0,2,11,7,16,0,1
1126,2,3,51,29,3.4,3,29,3.4,3,8,12,17,26,25,24,0,8,11,3,9,0,1
1127,2,5,35,26,3.2,6,26,3.2,6,10,13,25,14,27,18,0,17,12,6,14,0,1
1128,2,4,27,7,3.7,5,7,3.7,5,9,7,17,21,19,26,23,13,2,5,15,12,1
1129,2,0,42,12,3.3,3,12,3.3,3,12,13,16,17,27,18,0,8,7,2,15,0,1
1130,2,2,31,1,3.5,6,1,3.5,6,10,9,23,24,17,25,27,8,11,3,14,13,1
1131,2,5,36,15,3.6,2,15,3.6,2,12,9,16,15,21,27,23,5,2,10,8,16,1
1132,2,4,26,11,3.6,2,11,3.6,2,10,9,21,17,24,20,26,12,17,2,11,8,1
1133,2,1,43,18,3.4,3,18,3.4,3,8,7,23,15,14,26,0,1,11,4,2,0,1
1134,2,5,33,22,3.4,2,22,3.4,2,7,12,25,20,14,15,0,7,9,15,10,0,1
1135,2,0,47,17,3.5,3,17,3.5,3,12,7,17,19,24,18,15,4,3,14,17,15,1
1136,2,1,49,11,3.5,5,11,3.5,5,9,11,27,22,23,21,0,1,17,9,4,0,1
1137,2,1,57,29,3.2,3,29,3.2,3,9,10,21,14,26,20,0,15,8,14,7,0,1
1138,2,2,30,21,3.2,4,21,3.2,4,10,8,19,16,23,21,0,5,6,12,17,0,1
1139,2,1,36,13,3.7,5,13,3.7,5,11,9,25,26,17,27,22,15,13,2,6,10,1
1140,2,1,27,11,3.5,5,11,3.5,5,11,8,20,21,16,17,0,12,7,8,13,0,1
1141,2,5,48,23,3.3,1,23,3.3,1,11,10,23,26,22,27,0,1,6,9,5,0,1
1142,2,2,37,12,3.5,2,12,3.5,2,9,10,17,21,27,20,24,13,3,4,17,11,1
1143,2,5,51,21,3.2,5,21,3.2,5,9,7,15,20,19,18,0,15,16,6,1,0,1
1144,2,3,45,6,3.5,2,6,3.5,2,11,12,23,15,22,16,21,1,9,3,11,17,1
1145,2,4,37,18,3.5,2,18,3.5,2,10,11,15,19,17,18,27,17,13,3,2,15,1
1146,2,0,53,10,3.5,6,10,3.5,6,13,8,21,15,25,16,0,6,3,10,11,0,1
1147,2,4,52,1,3.5,3,1,3.5,3,7,13,15,18,20,16,27,7,6,4,15,13,1
1148,2,0,49,17,3.5,2,17,3.5,2,10,13,22,27,26,14,20,3,8,4,6,5,1
1149,2,0,23,18,3.7,6,18,3.7,6,9,10,25,23,20,21,16,15,4,8,11,13,1
1150,2,2,49,2,3.7,2,2,3.7,2,13,9,25,26,18,22,23,4,8,13,5,9,1
1151,2,4,31,24,3.5,2,24,3.5,2,8,11,21,25,26,22,0,4,15,2,6,0,1
